epoch,train_loss,train_acc,val_loss,val_acc
1,4.234309761822977,4.872379982608488,3.9329342945313557,15.151515151515152
2,3.512554949997736,19.971264367816094,3.2788085380157868,27.705627705627705
3,3.0186274920443243,32.99315415305653,2.8427531533427053,38.52813852813853
4,2.6995382228023352,42.750591585005836,2.505211927157976,48.484848484848484
5,2.4815031435137493,49.044962806263186,2.374904172245042,52.38095238095239
6,2.255585389603945,55.20622042951913,2.2441375895496054,55.41125541125541
7,2.1026081453380536,60.51808653206661,2.1704997748007506,61.904761904761905
8,2.006207694125632,64.03820147459534,2.113970879352454,62.33766233766234
9,1.89744763169404,68.34009464307763,2.108895427736885,62.33766233766234
10,1.8375028249114462,70.10437792197041,2.070320735246072,64.93506493506493
11,1.7393555919716788,73.89494586813039,1.9783157744964996,68.83116883116884
12,1.6988961162357048,74.63446584241143,1.9519492485822538,67.96536796536796
13,1.6079663427868833,78.13767742288523,1.9833921921717657,67.96536796536796
14,1.5663375310753174,79.54276538717336,1.8914416641383975,69.6969696969697
15,1.5428270152778392,80.48089924077878,1.9864012410630396,68.3982683982684
16,1.5357805044050896,81.30282285843772,1.976049269948687,68.3982683982684
17,1.4814016624407977,81.94092287962464,1.9245096083843347,70.56277056277057
18,1.4630903767179004,83.7812711342998,1.909197758802604,70.12987012987013
19,1.4102518540851128,84.97084176951441,1.9745930046230167,68.83116883116884
20,1.4180903189360514,84.77856655778557,1.950727450383174,68.3982683982684
21,1.3721844378513048,86.69075389292048,1.9549675978623426,68.83116883116884
22,1.3646335860545473,87.17672413793103,1.9427042688642229,67.53246753246754
23,1.3395958075931504,87.09432045070605,1.91087278143152,69.6969696969697
24,1.3256047253317675,87.82750166969738,1.8782659278803573,70.56277056277057
25,1.2693482359293438,90.34186948578933,1.8807478864471634,70.995670995671
26,1.266353034680395,90.27003040532956,1.8695239633708804,72.72727272727273
27,1.2182646476219345,91.67511828192349,1.8679730458693071,71.42857142857143
28,1.2416503957222842,90.4538539141074,1.867413295811905,70.995670995671
29,1.2534078845654038,90.56583834242547,1.87528336306155,71.86147186147186
30,1.2226276496723267,91.50397228372508,1.8561130390538798,71.86147186147186
31,1.2063185479848468,91.96247460376257,1.8569423223470714,71.86147186147186
32,1.2266106923249018,90.52991880219558,1.8542973953924138,71.86147186147186
33,1.2341031060403072,91.52721431337554,1.8625766622039663,71.86147186147186
34,1.2196759560255421,91.1722447187051,1.8607494511129536,73.59307359307358
35,1.2012308074404248,91.88218390804597,1.8353769706957268,72.2943722943723
36,1.2008237015602605,91.60750500909214,1.8508248153703037,71.86147186147186
37,1.1801941639768299,92.85201149425288,1.8445300405675715,72.72727272727273
38,1.2024085544945746,91.39621366303543,1.8513402814988966,72.72727272727273
39,1.1954302154925378,92.21391138537177,1.8376949875901787,71.86147186147186
40,1.2305751411266472,90.77290396854795,1.857274661332498,72.2943722943723
41,1.2040558295286101,91.53144012100395,1.853036746318206,72.2943722943723
42,1.2067176506983412,91.63497293406519,1.8433328387025114,71.86147186147186
43,1.1893386709513583,91.60750500909214,1.851709407129329,71.86147186147186
44,1.2166113896505977,91.24408379916487,1.8350199249399688,73.59307359307358
