epoch,train_loss,train_acc,val_loss,val_acc
1,4.003874295735531,6.036931818181818,3.3994331023113875,19.774011299435028
2,3.1533958503668256,24.705762993205678,2.611206520748677,41.24293785310734
3,2.6378526670469653,39.803165609186344,2.2185554881553866,55.08474576271186
4,2.3214664980661954,50.71022727272727,2.0110275960911466,60.16949152542372
5,2.0756957328576835,58.969155831770465,1.8720977346775896,64.68926553672316
6,1.8907841178153058,65.83806818181819,1.751373522699216,69.2090395480226
7,1.7765884937999918,68.42532470009543,1.682995726159737,73.72881355932203
8,1.6444699676774388,73.40706166354093,1.6106699705123901,73.44632768361582
9,1.5947100241407215,76.81615257263184,1.6025089732671187,73.72881355932203
10,1.539008350681058,78.88595771789551,1.5471878065227789,78.53107344632768
11,1.4659413814544677,80.10349030928178,1.5697630502409854,75.14124293785311
12,1.4682438003073492,79.7889610637318,1.5160960787433688,78.53107344632768
13,1.3796165095816413,84.54748379100452,1.5484040975570679,76.27118644067797
14,1.3556813994757564,85.20698044516824,1.5316727848376257,76.8361581920904
15,1.3571490682286325,84.15178576382723,1.515496079531093,75.98870056497175
16,1.2768476206621677,87.45941560918635,1.579293364185398,74.85875706214689
17,1.2555883616852246,87.75365257263184,1.500286810815671,78.8135593220339
18,1.2714706462064236,87.72321423617277,1.4744402985114835,79.37853107344633
19,1.2539727447701872,88.61607135425915,1.4661432369954168,77.96610169491525
20,1.2174524415311196,90.11769485473633,1.4566015267776231,81.92090395480226
21,1.1911823245261213,90.0466721274636,1.4382813771565754,81.35593220338984
22,1.2128227520332062,89.6408278725364,1.4363441480755132,82.48587570621469
23,1.1748659193944588,90.65543833645907,1.4418766646735413,81.63841807909604
24,1.2020671652375365,90.4423701546409,1.4491666535199699,80.50847457627118
25,1.216483362973165,89.5596590909091,1.4512444599873602,81.63841807909604
26,1.1737496554422722,91.5990258997137,1.4354045808652027,80.7909604519774
27,1.1976306067953864,90.01623379100452,1.4345575106346,80.7909604519774
28,1.1821049137938795,90.4220778725364,1.4271520019251074,81.07344632768361
29,1.1643397418715113,91.76136363636364,1.4290288141218281,80.50847457627118
30,1.1474300835630018,91.5990258997137,1.4249549114097984,81.63841807909604
31,1.1721984477351894,89.71185059980913,1.4259592429392756,80.7909604519774
32,1.1596362002461935,90.63514605435458,1.4345290553098344,80.50847457627118
